12:54:38.883	SERVER	admin	OK	Server was started (port: 1984).
13:31:14.887	127.0.0.1:52275	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	1.38 ms
13:31:14.894	127.0.0.1:52275	admin	OK	Query executed in 5.98 ms.	6.54 ms
13:35:06.503	127.0.0.1:52321	admin	REQUEST	OPEN Colenso	0.42 ms
13:35:06.504	127.0.0.1:52321	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.26 ms
13:35:27.761	127.0.0.1:52321	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.79 ms
13:35:27.766	127.0.0.1:52321	admin	OK	Query executed in 4.08 ms.	4.61 ms
13:36:29.302	127.0.0.1:52344	admin	REQUEST	OPEN Colenso	0.31 ms
13:36:29.302	127.0.0.1:52344	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.24 ms
13:36:51.976	127.0.0.1:52344	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.77 ms
13:36:51.981	127.0.0.1:52344	admin	OK	Query executed in 4.7 ms.	5.21 ms
13:37:38.618	127.0.0.1:52352	admin	REQUEST	OPEN Colenso	0.37 ms
13:37:38.618	127.0.0.1:52352	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.27 ms
13:37:40.118	127.0.0.1:52352	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.5 ms
13:37:40.123	127.0.0.1:52352	admin	OK	Query executed in 4.41 ms.	4.74 ms
13:40:52.151	127.0.0.1:52461	admin	REQUEST	OPEN Colenso	0.44 ms
13:40:52.151	127.0.0.1:52461	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.23 ms
13:41:00.497	127.0.0.1:52463	admin	REQUEST	OPEN Colenso	0.27 ms
13:41:00.497	127.0.0.1:52463	admin	OK	Database 'Colenso' was opened in 0.03 ms.	0.21 ms
13:41:02.774	127.0.0.1:52463	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.3 ms
13:41:02.776	127.0.0.1:52463	admin	OK	Query executed in 2.0 ms.	2.25 ms
13:41:29.818	127.0.0.1:52467	admin	REQUEST	OPEN Colenso	0.33 ms
13:41:29.818	127.0.0.1:52467	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.25 ms
13:41:31.083	127.0.0.1:52467	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.39 ms
13:41:31.086	127.0.0.1:52467	admin	OK	Query executed in 2.17 ms.	2.5 ms
13:42:32.743	127.0.0.1:52472	admin	REQUEST	OPEN Colenso	0.36 ms
13:42:32.743	127.0.0.1:52472	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.25 ms
13:42:36.212	127.0.0.1:52472	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.45 ms
13:42:36.215	127.0.0.1:52472	admin	OK	Query executed in 2.74 ms.	3.03 ms
13:50:08.819	127.0.0.1:52472	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.52 ms
13:50:08.823	127.0.0.1:52472	admin	OK	Query executed in 3.95 ms.	4.53 ms
13:50:30.893	127.0.0.1:52709	admin	REQUEST	OPEN Colenso	0.39 ms
13:50:30.893	127.0.0.1:52709	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.22 ms
13:50:32.809	127.0.0.1:52709	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.36 ms
13:50:32.811	127.0.0.1:52709	admin	OK	Query executed in 2.18 ms.	2.47 ms
