11:32:50.902	SERVER	admin	OK	Server was started (port: 1984).
11:33:07.800	127.0.0.1:59123	admin	REQUEST	OPEN Colenso	2.92 ms
11:33:07.800	127.0.0.1:59123	admin	OK	Database 'Colenso' was opened in 0.3 ms.	0.9 ms
11:33:23.872	127.0.0.1:59123	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	18.25 ms
11:33:24.478	127.0.0.1:59123	admin	OK	Query executed in 606.13 ms.	607.04 ms
11:33:24.482	127.0.0.1:59123	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	1.65 ms
11:33:24.490	127.0.0.1:59123	admin	OK	Query executed in 8.75 ms.	9.24 ms
11:33:52.093	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.49 ms
11:33:53.393	127.0.0.1:59124	admin	OK	Query executed in 1300.16 ms.	1301.17 ms
11:34:41.929	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.87 ms
11:34:42.741	127.0.0.1:59124	admin	OK	Query executed in 810.86 ms.	811.47 ms
11:35:02.939	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.45 ms
11:35:03.795	127.0.0.1:59124	admin	OK	Query executed in 856.42 ms.	856.99 ms
11:35:18.346	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.92 ms
11:35:19.106	127.0.0.1:59124	admin	OK	Query executed in 761.34 ms.	761.79 ms
11:39:27.581	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	1.02 ms
11:39:28.266	127.0.0.1:59124	admin	OK	Query executed in 682.65 ms.	683.21 ms
11:40:44.890	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.84 ms
11:40:45.630	127.0.0.1:59124	admin	OK	Query executed in 738.55 ms.	739.28 ms
11:40:55.355	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.54 ms
11:40:56.119	127.0.0.1:59124	admin	OK	Query executed in 764.04 ms.	764.4 ms
11:41:17.487	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.44 ms
11:41:18.239	127.0.0.1:59124	admin	OK	Query executed in 751.05 ms.	751.43 ms
11:41:43.934	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.58 ms
11:41:44.598	127.0.0.1:59124	admin	OK	Query executed in 665.1 ms.	665.49 ms
11:42:14.256	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.59 ms
11:42:15.036	127.0.0.1:59124	admin	OK	Query executed in 777.97 ms.	778.42 ms
11:42:35.363	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.46 ms
11:42:35.943	127.0.0.1:59124	admin	OK	Query executed in 582.1 ms.	582.52 ms
11:42:47.729	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.53 ms
11:42:48.533	127.0.0.1:59124	admin	OK	Query executed in 804.17 ms.	804.67 ms
11:42:55.560	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.58 ms
11:42:56.476	127.0.0.1:59124	admin	OK	Query executed in 914.91 ms.	915.36 ms
11:43:54.109	127.0.0.1:59124	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.83 ms
11:43:54.789	127.0.0.1:59124	admin	OK	Query executed in 680.05 ms.	680.61 ms
11:44:42.407	SERVER	admin	OK	Server was stopped (port: 1984).
11:44:59.090	SERVER	admin	OK	Server was started (port: 1984).
11:45:08.438	127.0.0.1:59266	admin	REQUEST	OPEN Colenso	2.94 ms
11:45:08.438	127.0.0.1:59266	admin	OK	Database 'Colenso' was opened in 0.22 ms.	0.64 ms
11:45:31.257	127.0.0.1:59266	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	5.06 ms
11:45:31.649	127.0.0.1:59266	admin	OK	Query executed in 388.19 ms.	389.19 ms
11:45:43.384	127.0.0.1:59267	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	1.06 ms
11:45:44.358	127.0.0.1:59267	admin	OK	Query executed in 973.37 ms.	974.12 ms
