12:14:14.199	SERVER	admin	OK	Server was started (port: 1984).
12:32:35.689	127.0.0.1:63442	admin	REQUEST	OPEN Colenso	3.34 ms
12:32:35.689	127.0.0.1:63442	admin	OK	Database 'Colenso' was opened in 0.29 ms.	0.88 ms
12:33:19.891	127.0.0.1:63445	admin	REQUEST	OPEN Colenso	0.58 ms
12:33:19.891	127.0.0.1:63445	admin	OK	Database 'Colenso' was opened in 0.06 ms.	0.46 ms
12:33:22.436	127.0.0.1:63445	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	48.43 ms
12:33:23.218	127.0.0.1:63445	admin	OK	Query executed in 778.38 ms.	779.78 ms
12:35:21.785	127.0.0.1:63446	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	1.31 ms
12:35:23.131	127.0.0.1:63446	admin	OK	Query executed in 1347.33 ms.	1348.5 ms
12:35:24.842	127.0.0.1:63446	admin	REQUEST	XQUERY doc('colenso/Private%20Letter:%201853%20December%2010:%20to%20Dixon%20&%20Co..xml')	0.56 ms
12:35:25.032	127.0.0.1:63446	admin	ERROR	Stopped at ., 1/72: [XPST0003] Invalid entity: '&%20Co..xml')...'.	191.34 ms
12:35:52.524	127.0.0.1:63446	admin	REQUEST	XQUERY doc('colenso/Private%20Letter:%201853%20December%2010:%20to%20Dixon%20&%20Co..xml')	0.97 ms
12:35:52.604	127.0.0.1:63446	admin	ERROR	Stopped at ., 1/72: [XPST0003] Invalid entity: '&%20Co..xml')...'.	81.64 ms
12:36:37.497	127.0.0.1:63562	admin	REQUEST	OPEN Colenso	0.36 ms
12:36:37.497	127.0.0.1:63562	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.26 ms
12:36:42.158	127.0.0.1:63562	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.38 ms
12:36:42.166	127.0.0.1:63562	admin	OK	Query executed in 7.72 ms.	8.04 ms
12:37:22.674	127.0.0.1:63563	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.59 ms
12:37:23.490	127.0.0.1:63563	admin	OK	Query executed in 819.09 ms.	819.64 ms
12:37:24.934	127.0.0.1:63563	admin	REQUEST	XQUERY doc('colenso/Private%20Letter:%201852%20October%2012:%20to%20the%20CMS%20Secretaries.xml')	0.49 ms
12:37:24.950	127.0.0.1:63563	admin	ERROR	Stopped at ., 1/4: [FODC0002] Resource 'C:/Users/Mitchell/SwenWebsite/basex/bin/colenso/Private%20Letter:%201852%20October%2012:%20to%20the%20CMS%20Secretaries.xml' does not exist.	16.64 ms
12:37:51.102	127.0.0.1:63563	admin	REQUEST	XQUERY <result> { for $x in collection('colenso') where $x//*:text[descendant::text() contains text 'y'] return <li path='{ db:path($x) }'>{ $x//*:title }</li> } </result>	0.98 ms
12:37:51.818	127.0.0.1:63563	admin	OK	Query executed in 716.13 ms.	716.59 ms
12:37:52.768	127.0.0.1:63563	admin	REQUEST	XQUERY doc('colenso/Private%20Letter:%201852%20October%2012:%20to%20the%20CMS%20Secretaries.xml')	0.35 ms
12:37:52.772	127.0.0.1:63563	admin	ERROR	Stopped at ., 1/4: [FODC0002] Resource 'C:/Users/Mitchell/SwenWebsite/basex/bin/colenso/Private%20Letter:%201852%20October%2012:%20to%20the%20CMS%20Secretaries.xml' does not exist.	3.23 ms
12:38:48.313	127.0.0.1:63563	admin	REQUEST	XQUERY doc('colenso/Private%20Letter:%201852%20October%2012:%20to%20the%20CMS%20Secretaries.xml')	1.0 ms
12:38:48.321	127.0.0.1:63563	admin	ERROR	Stopped at ., 1/4: [FODC0002] Resource 'C:/Users/Mitchell/SwenWebsite/basex/bin/colenso/Private%20Letter:%201852%20October%2012:%20to%20the%20CMS%20Secretaries.xml' does not exist.	6.55 ms
12:38:50.911	127.0.0.1:63563	admin	REQUEST	XQUERY doc('colenso/Private%20Letter:%201865%20August%202:%20to%20Catchpool.xml')	0.59 ms
12:38:50.919	127.0.0.1:63563	admin	ERROR	Stopped at ., 1/4: [FODC0002] Resource 'C:/Users/Mitchell/SwenWebsite/basex/bin/colenso/Private%20Letter:%201865%20August%202:%20to%20Catchpool.xml' does not exist.	5.23 ms
12:39:02.041	127.0.0.1:63563	admin	REQUEST	XQUERY doc('colenso/Private%20Letter:%201865%20August%202:%20to%20Catchpool.xml')	0.49 ms
