16:34:43.860	SERVER	admin	OK	Server was started (port: 1984).
16:37:53.252	127.0.0.1:57383	admin	REQUEST	OPEN Colenso	4.04 ms
16:37:53.252	127.0.0.1:57383	admin	OK	Database 'Colenso' was opened in 0.75 ms.	2.11 ms
16:37:57.373	127.0.0.1:57383	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	11.74 ms
16:37:59.022	127.0.0.1:57383	admin	OK	Query executed in 1644.18 ms.	1644.87 ms
16:37:59.023	127.0.0.1:57383	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	1.28 ms
16:37:59.032	127.0.0.1:57383	admin	OK	Query executed in 7.6 ms.	8.04 ms
16:38:42.221	127.0.0.1:57388	admin	REQUEST	OPEN Colenso	0.33 ms
16:38:42.237	127.0.0.1:57388	admin	OK	Database 'Colenso' was opened in 0.03 ms.	0.29 ms
16:39:02.988	127.0.0.1:57388	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.6 ms
16:39:02.995	127.0.0.1:57388	admin	OK	Query executed in 6.26 ms.	6.73 ms
16:39:41.043	127.0.0.1:57393	admin	REQUEST	OPEN Colenso	0.81 ms
16:39:41.043	127.0.0.1:57393	admin	OK	Database 'Colenso' was opened in 0.1 ms.	0.39 ms
16:40:01.896	127.0.0.1:57393	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.82 ms
16:40:01.901	127.0.0.1:57393	admin	OK	Query executed in 4.34 ms.	4.77 ms
16:40:22.236	127.0.0.1:57393	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.48 ms
16:40:22.240	127.0.0.1:57393	admin	OK	Query executed in 4.32 ms.	4.79 ms
16:41:02.378	127.0.0.1:57443	admin	REQUEST	OPEN Colenso	0.32 ms
16:41:02.378	127.0.0.1:57443	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.26 ms
16:41:23.306	127.0.0.1:57443	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.5 ms
16:41:23.312	127.0.0.1:57443	admin	OK	Query executed in 5.41 ms.	5.76 ms
16:43:05.514	127.0.0.1:57500	admin	REQUEST	OPEN Colenso	0.41 ms
16:43:05.514	127.0.0.1:57500	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.25 ms
16:43:26.643	127.0.0.1:57500	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.46 ms
16:43:26.646	127.0.0.1:57500	admin	OK	Query executed in 2.99 ms.	3.33 ms
16:47:18.896	127.0.0.1:57549	admin	REQUEST	OPEN Colenso	0.37 ms
16:47:18.896	127.0.0.1:57549	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.23 ms
16:47:21.232	127.0.0.1:57549	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.44 ms
16:47:21.236	127.0.0.1:57549	admin	OK	Query executed in 3.69 ms.	4.08 ms
16:47:56.616	127.0.0.1:57559	admin	REQUEST	OPEN Colenso	0.37 ms
16:47:56.616	127.0.0.1:57559	admin	OK	Database 'Colenso' was opened in 0.07 ms.	0.3 ms
16:48:17.471	127.0.0.1:57559	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.57 ms
16:48:17.474	127.0.0.1:57559	admin	OK	Query executed in 2.95 ms.	3.33 ms
16:49:17.980	127.0.0.1:57578	admin	REQUEST	OPEN Colenso	0.39 ms
16:49:17.980	127.0.0.1:57578	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.25 ms
16:49:38.231	127.0.0.1:57578	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.46 ms
16:49:38.233	127.0.0.1:57578	admin	OK	Query executed in 2.02 ms.	2.31 ms
16:51:40.190	127.0.0.1:57662	admin	REQUEST	OPEN Colenso	0.63 ms
16:51:40.190	127.0.0.1:57662	admin	OK	Database 'Colenso' was opened in 0.06 ms.	0.38 ms
16:52:02.847	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	1.03 ms
16:52:02.854	127.0.0.1:57662	admin	OK	Query executed in 5.62 ms.	6.23 ms
16:52:09.678	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.44 ms
16:52:09.702	127.0.0.1:57662	admin	OK	Query executed in 23.98 ms.	24.38 ms
16:52:24.352	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.63 ms
16:52:24.372	127.0.0.1:57662	admin	OK	Query executed in 19.37 ms.	19.75 ms
16:54:05.963	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.66 ms
16:54:05.978	127.0.0.1:57662	admin	OK	Query executed in 14.5 ms.	14.86 ms
16:54:20.517	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.47 ms
16:54:20.541	127.0.0.1:57662	admin	OK	Query executed in 23.49 ms.	24.0 ms
16:54:28.406	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.6 ms
16:54:28.434	127.0.0.1:57662	admin	OK	Query executed in 28.27 ms.	28.64 ms
16:54:34.310	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.53 ms
16:54:34.397	127.0.0.1:57662	admin	OK	Query executed in 87.07 ms.	87.42 ms
16:54:36.291	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.47 ms
16:54:36.336	127.0.0.1:57662	admin	OK	Query executed in 45.12 ms.	45.52 ms
16:54:46.287	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.61 ms
16:54:46.485	127.0.0.1:57662	admin	OK	Query executed in 197.43 ms.	198.14 ms
16:54:52.810	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.71 ms
16:54:52.812	127.0.0.1:57662	admin	OK	Query executed in 1.99 ms.	2.27 ms
16:55:02.788	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.48 ms
16:55:02.793	127.0.0.1:57662	admin	OK	Query executed in 3.73 ms.	4.14 ms
16:56:28.615	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.64 ms
16:56:28.618	127.0.0.1:57662	admin	OK	Query executed in 3.11 ms.	3.6 ms
16:56:31.226	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.49 ms
16:56:31.229	127.0.0.1:57662	admin	OK	Query executed in 2.71 ms.	3.09 ms
16:56:40.377	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.38 ms
16:56:40.380	127.0.0.1:57662	admin	OK	Query executed in 2.7 ms.	2.98 ms
16:56:40.795	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.36 ms
16:56:40.798	127.0.0.1:57662	admin	OK	Query executed in 2.72 ms.	3.05 ms
16:58:55.525	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.84 ms
16:58:55.528	127.0.0.1:57662	admin	OK	Query executed in 2.67 ms.	3.19 ms
16:59:19.772	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.4 ms
16:59:19.776	127.0.0.1:57662	admin	OK	Query executed in 3.63 ms.	3.96 ms
16:59:53.979	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.49 ms
16:59:53.982	127.0.0.1:57662	admin	OK	Query executed in 2.69 ms.	3.07 ms
17:00:12.638	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.66 ms
17:00:12.641	127.0.0.1:57662	admin	OK	Query executed in 2.57 ms.	2.86 ms
17:00:36.111	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.51 ms
17:00:36.114	127.0.0.1:57662	admin	OK	Query executed in 2.51 ms.	3.28 ms
17:01:12.311	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.42 ms
17:01:12.315	127.0.0.1:57662	admin	OK	Query executed in 3.51 ms.	3.84 ms
17:01:43.530	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.62 ms
17:01:43.534	127.0.0.1:57662	admin	OK	Query executed in 3.36 ms.	3.74 ms
17:30:14.715	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.52 ms
17:30:14.719	127.0.0.1:57662	admin	OK	Query executed in 3.3 ms.	3.83 ms
17:30:38.083	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.53 ms
17:30:38.086	127.0.0.1:57662	admin	OK	Query executed in 2.86 ms.	3.21 ms
17:31:06.394	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.53 ms
17:31:06.397	127.0.0.1:57662	admin	OK	Query executed in 2.54 ms.	2.92 ms
17:31:12.405	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.39 ms
17:31:12.408	127.0.0.1:57662	admin	OK	Query executed in 2.88 ms.	3.24 ms
17:31:33.489	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.38 ms
17:31:33.492	127.0.0.1:57662	admin	OK	Query executed in 3.0 ms.	3.31 ms
17:31:35.565	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.4 ms
17:31:35.568	127.0.0.1:57662	admin	OK	Query executed in 2.19 ms.	2.5 ms
17:32:35.657	127.0.0.1:57662	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.62 ms
17:32:35.661	127.0.0.1:57662	admin	OK	Query executed in 3.27 ms.	3.61 ms
17:35:42.396	127.0.0.1:58385	admin	REQUEST	OPEN Colenso	0.35 ms
17:35:42.396	127.0.0.1:58385	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.29 ms
17:36:19.484	127.0.0.1:58386	admin	REQUEST	OPEN Colenso	0.32 ms
17:36:19.484	127.0.0.1:58386	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.24 ms
17:39:58.205	127.0.0.1:58439	admin	REQUEST	OPEN Colenso	0.39 ms
17:39:58.205	127.0.0.1:58439	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.25 ms
17:41:17.036	127.0.0.1:58439	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.59 ms
17:41:17.040	127.0.0.1:58439	admin	OK	Query executed in 3.86 ms.	4.37 ms
17:42:05.129	127.0.0.1:58492	admin	REQUEST	OPEN Colenso	0.61 ms
17:42:05.129	127.0.0.1:58492	admin	OK	Database 'Colenso' was opened in 0.11 ms.	0.48 ms
17:42:25.608	127.0.0.1:58492	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.56 ms
17:42:25.612	127.0.0.1:58492	admin	OK	Query executed in 3.0 ms.	3.39 ms
17:43:56.256	127.0.0.1:58492	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.51 ms
17:43:56.260	127.0.0.1:58492	admin	OK	Query executed in 2.78 ms.	3.13 ms
17:44:07.890	127.0.0.1:58513	admin	REQUEST	OPEN Colenso	0.27 ms
17:44:07.890	127.0.0.1:58513	admin	OK	Database 'Colenso' was opened in 0.03 ms.	0.22 ms
17:44:29.075	127.0.0.1:58513	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.66 ms
17:44:29.080	127.0.0.1:58513	admin	OK	Query executed in 3.97 ms.	4.51 ms
17:46:06.818	127.0.0.1:58538	admin	REQUEST	OPEN Colenso	0.81 ms
17:46:06.818	127.0.0.1:58538	admin	OK	Database 'Colenso' was opened in 0.08 ms.	0.44 ms
17:46:27.059	127.0.0.1:58538	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.51 ms
17:46:27.062	127.0.0.1:58538	admin	OK	Query executed in 2.6 ms.	2.97 ms
17:47:00.176	127.0.0.1:58549	admin	REQUEST	OPEN Colenso	0.32 ms
17:47:00.176	127.0.0.1:58549	admin	OK	Database 'Colenso' was opened in 0.06 ms.	0.25 ms
17:47:46.358	127.0.0.1:58549	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.44 ms
17:47:46.361	127.0.0.1:58549	admin	OK	Query executed in 2.84 ms.	3.15 ms
17:50:51.507	127.0.0.1:58608	admin	REQUEST	OPEN Colenso	0.47 ms
17:50:51.507	127.0.0.1:58608	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.28 ms
17:57:31.169	127.0.0.1:58817	admin	REQUEST	OPEN Colenso	0.4 ms
17:57:31.170	127.0.0.1:58817	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.33 ms
17:57:37.362	127.0.0.1:58817	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.48 ms
17:57:37.364	127.0.0.1:58817	admin	OK	Query executed in 1.94 ms.	2.25 ms
17:58:28.204	127.0.0.1:58820	admin	REQUEST	OPEN Colenso	0.85 ms
17:58:28.204	127.0.0.1:58820	admin	OK	Database 'Colenso' was opened in 0.09 ms.	0.46 ms
17:58:46.876	127.0.0.1:58820	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.43 ms
17:58:46.879	127.0.0.1:58820	admin	OK	Query executed in 2.67 ms.	3.06 ms
17:59:53.658	127.0.0.1:58831	admin	REQUEST	OPEN Colenso	0.32 ms
17:59:53.658	127.0.0.1:58831	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.22 ms
18:00:15.558	127.0.0.1:58831	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.48 ms
18:00:15.562	127.0.0.1:58831	admin	OK	Query executed in 2.93 ms.	3.32 ms
18:02:44.880	127.0.0.1:58985	admin	REQUEST	OPEN Colenso	0.37 ms
18:02:44.880	127.0.0.1:58985	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.23 ms
18:02:49.359	127.0.0.1:58985	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.42 ms
18:02:49.362	127.0.0.1:58985	admin	OK	Query executed in 2.98 ms.	3.3 ms
18:05:00.449	127.0.0.1:59081	admin	REQUEST	OPEN Colenso	0.41 ms
18:05:00.449	127.0.0.1:59081	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.24 ms
18:05:04.905	127.0.0.1:59081	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.34 ms
18:05:04.908	127.0.0.1:59081	admin	OK	Query executed in 1.9 ms.	2.14 ms
18:05:42.843	127.0.0.1:59085	admin	REQUEST	OPEN Colenso	0.29 ms
18:05:42.843	127.0.0.1:59085	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.2 ms
18:06:00.032	127.0.0.1:59088	admin	REQUEST	OPEN Colenso	0.3 ms
18:06:00.032	127.0.0.1:59088	admin	OK	Database 'Colenso' was opened in 0.03 ms.	0.18 ms
18:06:03.384	127.0.0.1:59088	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.33 ms
18:06:03.386	127.0.0.1:59088	admin	OK	Query executed in 2.08 ms.	2.33 ms
18:06:31.394	127.0.0.1:59090	admin	REQUEST	OPEN Colenso	0.35 ms
18:06:31.394	127.0.0.1:59090	admin	OK	Database 'Colenso' was opened in 0.06 ms.	0.26 ms
18:06:54.977	127.0.0.1:59090	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.63 ms
18:06:54.983	127.0.0.1:59090	admin	OK	Query executed in 5.18 ms.	5.71 ms
18:08:41.378	127.0.0.1:59112	admin	REQUEST	OPEN Colenso	0.34 ms
18:08:41.378	127.0.0.1:59112	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.25 ms
18:09:36.569	127.0.0.1:59121	admin	REQUEST	OPEN Colenso	0.36 ms
18:09:36.569	127.0.0.1:59121	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.24 ms
18:11:59.629	127.0.0.1:59155	admin	REQUEST	OPEN Colenso	0.35 ms
18:11:59.629	127.0.0.1:59155	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.23 ms
18:12:04.527	127.0.0.1:59155	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.3 ms
18:12:04.530	127.0.0.1:59155	admin	OK	Query executed in 2.01 ms.	2.37 ms
18:39:41.937	127.0.0.1:59155	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.5 ms
18:39:41.939	127.0.0.1:59155	admin	OK	Query executed in 2.04 ms.	2.45 ms
18:39:49.664	127.0.0.1:59225	admin	REQUEST	OPEN Colenso	0.24 ms
18:39:49.664	127.0.0.1:59225	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.25 ms
18:40:15.392	127.0.0.1:59234	admin	REQUEST	OPEN Colenso	0.28 ms
18:40:15.393	127.0.0.1:59234	admin	OK	Database 'Colenso' was opened in 0.03 ms.	0.24 ms
18:40:26.206	127.0.0.1:59234	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.33 ms
18:40:26.208	127.0.0.1:59234	admin	OK	Query executed in 1.77 ms.	2.1 ms
18:40:27.381	127.0.0.1:59234	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.41 ms
18:40:27.383	127.0.0.1:59234	admin	OK	Query executed in 1.58 ms.	1.79 ms
19:12:05.117	SERVER	admin	OK	Server was started (port: 1984).
19:12:16.341	127.0.0.1:60006	admin	REQUEST	OPEN Colenso	3.66 ms
19:12:16.341	127.0.0.1:60006	admin	OK	Database 'Colenso' was opened in 0.41 ms.	1.14 ms
19:13:06.632	127.0.0.1:60013	admin	REQUEST	OPEN Colenso	0.56 ms
19:13:06.632	127.0.0.1:60013	admin	OK	Database 'Colenso' was opened in 0.06 ms.	0.33 ms
19:13:26.621	127.0.0.1:60013	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	47.63 ms
19:13:27.108	127.0.0.1:60013	admin	OK	Query executed in 487.2 ms.	488.1 ms
19:13:41.877	127.0.0.1:60013	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.52 ms
19:13:41.885	127.0.0.1:60013	admin	OK	Query executed in 6.95 ms.	7.38 ms
19:15:08.299	127.0.0.1:60020	admin	REQUEST	OPEN Colenso	0.42 ms
19:15:08.299	127.0.0.1:60020	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.25 ms
19:15:13.535	127.0.0.1:60020	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.36 ms
19:15:13.540	127.0.0.1:60020	admin	OK	Query executed in 4.18 ms.	4.45 ms
19:17:11.295	127.0.0.1:60037	admin	REQUEST	OPEN Colenso	0.45 ms
19:17:11.295	127.0.0.1:60037	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.26 ms
19:17:14.825	127.0.0.1:60037	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.35 ms
19:17:14.828	127.0.0.1:60037	admin	OK	Query executed in 2.67 ms.	2.97 ms
19:19:40.942	127.0.0.1:60097	admin	REQUEST	OPEN Colenso	0.36 ms
19:19:40.942	127.0.0.1:60097	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.27 ms
19:19:43.934	127.0.0.1:60097	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.34 ms
19:19:43.937	127.0.0.1:60097	admin	OK	Query executed in 2.65 ms.	2.94 ms
19:19:44.706	127.0.0.1:60097	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.4 ms
19:19:44.708	127.0.0.1:60097	admin	OK	Query executed in 2.34 ms.	2.64 ms
19:20:04.299	127.0.0.1:60097	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.67 ms
19:20:04.302	127.0.0.1:60097	admin	OK	Query executed in 3.34 ms.	3.77 ms
19:20:05.698	127.0.0.1:60097	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.4 ms
19:20:05.702	127.0.0.1:60097	admin	OK	Query executed in 3.65 ms.	4.02 ms
19:20:16.708	127.0.0.1:60097	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.41 ms
19:20:16.712	127.0.0.1:60097	admin	OK	Query executed in 3.25 ms.	3.74 ms
19:20:22.287	127.0.0.1:60097	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.64 ms
19:20:22.291	127.0.0.1:60097	admin	OK	Query executed in 2.67 ms.	3.0 ms
19:20:51.282	127.0.0.1:60109	admin	REQUEST	OPEN Colenso	0.32 ms
19:20:51.282	127.0.0.1:60109	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.23 ms
19:21:17.619	127.0.0.1:60109	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	1.02 ms
19:21:17.625	127.0.0.1:60109	admin	OK	Query executed in 5.61 ms.	6.29 ms
19:21:36.203	127.0.0.1:60112	admin	REQUEST	OPEN Colenso	0.38 ms
19:21:36.203	127.0.0.1:60112	admin	OK	Database 'Colenso' was opened in 0.05 ms.	1.65 ms
19:21:58.249	127.0.0.1:60112	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	1.8 ms
19:21:58.254	127.0.0.1:60112	admin	OK	Query executed in 4.62 ms.	5.11 ms
